deal_id,created_date,closed_date,sales_rep_id,industry,region,product_type,lead_source,deal_stage,deal_amount,sales_cycle_days,outcome,risk_score,risk_category
D00001,2023-11-24,2023-12-15,rep_22,SaaS,North America,Enterprise,Referral,Qualified,4253,21,Won,54.5,Medium
D00002,2023-01-17,2023-01-27,rep_7,SaaS,India,Core,Referral,Closed,3905,10,Won,46.3,Medium
D00003,2023-10-29,2023-12-10,rep_5,HealthTech,APAC,Core,Inbound,Proposal,10615,42,Lost,48.1,Medium
D00004,2023-07-14,2023-08-02,rep_18,FinTech,India,Core,Partner,Negotiation,4817,19,Won,50.2,Medium
D00005,2024-02-29,2024-05-26,rep_2,HealthTech,APAC,Core,Outbound,Qualified,45203,87,Lost,50.4,Medium
D00006,2024-03-19,2024-04-07,rep_12,HealthTech,APAC,Enterprise,Inbound,Proposal,5714,19,Won,45.6,Medium
D00007,2023-11-08,2024-02-04,rep_9,SaaS,Europe,Enterprise,Partner,Negotiation,12010,88,Won,53.7,Medium
D00008,2024-03-07,2024-06-20,rep_3,HealthTech,APAC,Core,Referral,Proposal,8525,105,Lost,50.5,Medium
D00009,2023-07-22,2023-11-19,rep_24,SaaS,APAC,Enterprise,Referral,Demo,5758,120,Lost,55.9,Medium
D00010,2023-10-26,2023-12-23,rep_4,HealthTech,Europe,Enterprise,Referral,Qualified,3133,58,Won,49.6,Medium
D00011,2023-11-02,2023-11-17,rep_1,FinTech,APAC,Enterprise,Partner,Closed,15668,15,Won,48.5,Medium
D00012,2023-02-27,2023-04-12,rep_17,FinTech,APAC,Enterprise,Outbound,Demo,54522,44,Won,50.2,Medium
D00013,2023-03-20,2023-05-13,rep_16,FinTech,North America,Pro,Partner,Proposal,20074,54,Lost,51.7,Medium
D00014,2023-05-03,2023-05-17,rep_3,SaaS,Europe,Core,Referral,Negotiation,31226,14,Won,43.8,Medium
D00015,2023-10-09,2023-11-06,rep_23,EdTech,India,Enterprise,Partner,Demo,47760,28,Won,53.2,Medium
D00016,2023-08-13,2023-10-25,rep_19,SaaS,Europe,Enterprise,Outbound,Qualified,11681,73,Lost,49.3,Medium
